"","X","Year","Title","Artist","Genre","rank","index","Rec_Start_Minute","rating","time","condition","startTimeSeconds","musicValence","musicArousal","event","memoryValence","memoryVivid","participantID","session","familiarityRating","personalRating","musicChildListen","musicChildRadio","musicChildLike","musicChildMood","musicChildImportant","musicAdolListen","musicAdolRadio","musicAdolLike","musicAdolMood","musicAdolImportant","musicAdultListen","musicAdultRadio","musicAdultLike","musicAdultMood","musicAdultImportant","musicCurrentListen","musicCurrentImportant","musicTraining","childListening","adolListening","adultListening","postListening","Skipped","Cover_T_F","X.1"
"1",0,1965,"The Boy from New York City","The Ad Libs","R&B/Soul",98,"1731","0:43","0","adult","U",43,5,"Energized","A moment on a honeymoon",2,6,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"2",1,1964,"Haunted House","Jumpin' Gene Simmons","Rock",93,"1626","0:00","0","adult","U",0,5,"Tense","Picking up a new hobby in your 20's",7,7,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"3",2,1964,"Hi-Heel Sneakers","Tommy Tucker","Pop",88,"1621","0:48","0","adult","U",48,6,"Energized","First time voting",7,4,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"4",3,1964,"Steal Away","Jimmy Hughes","R&B/Soul",94,"1627","0:38","0","adult","U",38,5,"Relaxed","A wedding you attended in your 20's",4,3,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"5",4,1968,"Here Comes the Judge","Shorty Long","R&B/Soul",92,"2026","0:13","0","adult","U",13,6,"Tense","Moving into your first home after your parents house or dorm",7,6,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"6",0,1958,"Lazy Mary","Lou Monte","Pop",96,"1029","0:00","0","adol","U",0,7,"Energized","A specific chore you did for parents",7,7,"pilot007",1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,NA,NA,NA
"7",1,1958,"Jennie Lee","Jan and Arnie","Pop",90,"1023","0:00","0","adol","U",0,6,"Energized","A moment with your high school best friend",7,6,"pilot007",1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"8",2,1959,"You're So Fine","The Falcons","Pop",91,"1124","0:08","0","adol","U",8,5,"Relaxed","A Bar/Bat Mitzvah",7,6,"pilot007",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
"9",3,1958,"For Your Love","Ed Townsend","R&B/Soul",97,"1030","0:30","0","adol","U",30,7,"Relaxed","A friend's birthday party in high school",3,7,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"10",4,1959,"In the Mood","Ernie Fields","Pop",99,"1132","0:00","0","adol","U",0,4,"Bored","A slumber party in junior/high school",4,4,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
"11",0,1952,"Juke","Little Walter","Jazz",45,"579","0:20","0","child","U",20,6,"Relaxed","A time with a babysitter you had during childhood",7,6,"pilot007",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA
